Country,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
美国,6.63,4069,1.63,9259,0.72,0.4434,158
英国,1.63,1423,1.14,2984,0.55,0.4474,55
加拿大,0.82,843,0.97,1911,0.43,0.4631,29
德国,0.80,875,0.92,2212,0.36,0.4021,47
澳大利亚,0.50,428,1.17,837,0.60,0.4262,13
法国,0.38,624,0.60,1256,0.30,0.4179,17
荷兰,0.31,267,1.16,686,0.45,0.4796,9
日本,0.10,264,0.39,557,0.19,0.4417,6
西班牙,0.10,233,0.44,482,0.21,0.4419,6
波兰,0.10,130,0.76,404,0.25,0.3838,2
奥地利,0.09,71,1.33,238,0.40,0.416,2
意大利,0.09,177,0.52,355,0.26,0.4338,5
瑞典,0.07,119,0.56,299,0.22,0.4175,3
巴西,0.06,107,0.59,178,0.36,0.4045,1
比利时,0.06,59,0.99,168,0.35,0.3631,2
挪威,0.06,59,0.93,163,0.34,0.3988,2
丹麦,0.05,54,0.85,147,0.31,0.3878,2
瑞士,0.04,40,0.98,119,0.33,0.3697,1
墨西哥,0.04,65,0.60,132,0.30,0.4394,5
爱尔兰,0.04,29,1.25,65,0.56,0.6308,0
韩国,0.03,40,0.86,157,0.22,0.4777,1
芬兰,0.03,42,0.68,97,0.30,0.4021,0
土耳其,0.03,152,0.18,164,0.17,0.5687,4
沙特阿拉伯,0.03,27,0.96,53,0.49,0.4423,0
捷克,0.02,24,0.87,87,0.24,0.3605,3
泰国,0.02,35,0.54,60,0.31,0.4576,0
希腊,0.02,40,0.47,40,0.47,0.525,1
塞浦路斯,0.02,13,1.43,24,0.78,0.5417,1
以色列,0.02,40,0.44,67,0.26,0.6094,0
南非,0.02,55,0.32,63,0.28,0.4921,2
新西兰,0.02,79,0.21,74,0.23,0.4324,1
斯洛文尼亚,0.02,11,1.37,41,0.37,0.4146,0
智利,0.01,47,0.30,83,0.17,0.5542,0
葡萄牙,0.01,21,0.63,88,0.15,0.3409,1
斯洛伐克,0.01,15,0.84,77,0.16,0.2208,0
卢森堡,0.01,5,2.16,13,0.83,0.5385,0
台湾,0.01,28,0.38,38,0.28,0.5,0
乌克兰,0.01,32,0.33,58,0.18,0.5,0
越南,0.01,40,0.25,17,0.58,0.5882,2
拉脱维亚,0.01,11,0.87,23,0.42,0.5217,0
印度,0.01,68,0.13,62,0.14,0.629,0
克罗地亚,0.01,21,0.40,68,0.12,0.4118,0
冰岛,0.01,7,1.17,14,0.58,0.3571,0
马来西亚,0.01,33,0.23,29,0.26,0.7241,0
菲律宾,0.01,41,0.17,50,0.14,0.4167,2
埃及,0.01,22,0.29,34,0.19,0.6176,2
罗马尼亚,0.01,17,0.33,20,0.28,0.35,1
塞尔维亚,0.01,19,0.30,31,0.18,0.3929,0
中国,0.00,192,0.03,29,0.17,0.6207,0
立陶宛,0.00,6,0.79,4,1.18,0.6667,0
格鲁吉亚,0.00,14,0.32,23,0.20,0.3846,0
印度尼西亚,0.00,66,0.06,24,0.17,0.5333,0
新加坡,0.00,39,0.10,10,0.39,0.5,0
科威特,0.00,6,0.53,4,0.80,0.5,1
哥伦比亚,0.00,21,0.15,12,0.25,0.5833,0
阿根廷,0.00,26,0.11,6,0.47,1,0
伊朗,0.00,9,0.30,22,0.12,0.6875,0
匈牙利,0.00,33,0.08,62,0.04,0.4516,0
卡塔尔,0.00,2,1.22,5,0.49,0.6,0
尼日利亚,0.00,13,0.19,19,0.13,0.5789,0
保加利亚,0.00,9,0.24,16,0.13,0.4375,1
阿拉伯联合酋长国,0.00,5,0.38,8,0.24,0.375,0
北马其顿,0.00,5,0.32,1,1.61,1,0
乍得,0.00,1,1.40,3,0.47,0.5,0
巴林,0.00,1,1.40,2,0.70,0.5,0
厄瓜多尔,0.00,3,0.45,5,0.27,0.4,0
马耳他,0.00,1,1.28,5,0.26,0.6,0
马尔代夫,0.00,7,0.17,6,0.20,0.3333,0
香港,0.00,11,0.07,1,0.81,,0
多米尼加共和国,0.00,10,0.08,2,0.39,1,0
白俄罗斯,0.00,16,0.04,6,0.12,0.5,0
柬埔寨,0.00,1,0.66,5,0.13,0.4,0
蒙古,0.00,1,0.63,2,0.31,1,0
爱沙尼亚,0.00,3,0.18,2,0.28,1,0
直布罗陀,0.00,3,0.14,1,0.42,0,0
黎巴嫩,0.00,1,0.41,1,0.41,1,0
未知地区,0.00,1,0.35,1,0.35,1,0
摩尔多瓦,0.00,9,0.03,1,0.31,1,0
新喀里多尼亚,0.00,1,0.27,2,0.14,1,0
伊拉克,0.00,3,0.09,1,0.27,1,0
阿富汗,0.00,1,0.24,1,0.24,1,0
